ID,Cr,OS,Type,Summary,AllLabels,Cc
541047,"Blink-Forms, Blink-Forms-Validation",All,Bug,Don't use old flexboxes in Chrome WebUI,"Cr-Blink-Forms, Cr-Blink-Forms-Validation, OS-All, Pri-2, Type-Bug, Via-Wizard",
541043,Blink-GetUserMedia-Tab,All,Bug,"crbug's ""Summary"" field auto-clear logic interferes with reporting","Cr-Blink-GetUserMedia-Tab, Hotlist-Mirroring-Performance, M-49, OS-All, Pri-2, Type-Bug",
541041,Platform-DevTools,All,Bug,uncommonAttributeSelectors contains a lot of selectors in Polymer apps,"Cr-Platform-DevTools, OS-All, Pri-2, Type-Bug",ca...@chromium.org
541032,,All,Bug,Regression: chrome://crash url disappears in the omnibox on navigating to chrome://kill or chrome://crashdump.,"OS-All, Pri-2, Proj-Mandoline, Type-Bug","fsam...@chromium.org, rjkroege@chromium.org"
541000,,All,Bug,Tag RTP dump packets with port number,"OS-All, Pri-2, Proj-Mandoline, Type-Bug","fsam...@chromium.org, sadrul@chromium.org"
540991,Blink-WebGL,All,Bug,Styling ::content inflates layout recalc time under some conditions,"Cr-Blink-WebGL, OS-All, Pri-2, Type-Bug","bajones@chromium.org, kbr@chromium.org"
540978,Blink-Paint-Invalidation,All,Bug,"document.execCommand() should not count as a ""user edit"" for the purposes of ValidityState.tooLong","Cr-Blink-Paint-Invalidation, OS-All, Pri-2, Type-Bug",pdr@chromium.org
540965,Tests-Telemetry,All,Bug,Add WebContentsObserver APIs to notify of WebContents capture changes,"Cr-Tests-Telemetry, OS-All, Pri-2, Type-Bug","nd...@chromium.org, nedngu...@chromium.org, zhenw@chromium.org"
540941,Internals-Network-Cookies,All,Feature,Adapt _securityStateMin to share a SecurityStateComparator with the origin list,"Cr-Internals-Network-Cookies, OS-All, Pri-2, Type-Feature","jdd...@chromium.org, mmenke@chromium.org"
540931,Internals-Plugins-PDF,All,Bug,mus needs to offer a readback API to RootView owners,"Cr-Internals-Plugins-PDF, OS-All, Pri-2, Type-Bug","bo...@chromium.org, raymes@chromium.org, thestig@chromium.org, wjmacl...@chromium.org"
540929,"Platform-DevTools, Platform-DevTools-Mobile",All,Feature,cc software path in mus,"Cr-Platform-DevTools, Cr-Platform-DevTools-Mobile, OS-All, Pri-2, Type-Feature",maxwal...@chromium.org
540916,Blink,All,Compat,Two webgl extension conformance tests fails with --js-flags=--expose-gc,"Arch-x86_64, Cr-Blink, M-48, OS-All, Pri-2, Type-Compat, Via-Wizard",
540915,"Platform-DevTools, Platform-DevTools-Performance",All,Bug,Cannot launch new window from hamburger menu,"Cr-Platform-DevTools, Cr-Platform-DevTools-Performance, OS-All, Pri-2, Type-Bug",
540900,"Platform-DevTools, Platform-DevTools-Performance",All,Bug,conformance/extensions/ext-sRGB.html fails,"Cr-Platform-DevTools, Cr-Platform-DevTools-Performance, OS-All, Pri-2, Type-Bug",
540893,Blink-WebRTC-Network,All,Bug,Investigate two disabled LayoutTest edge cases for newline selection.,"Cr-Blink-WebRTC-Network, OS-All, Pri-2, Type-Bug",guow...@chromium.org
540870,Blink-PresentationAPI,All,Feature,Port all legacy timeline-based metrics to JavaScript,"Cr-Blink-PresentationAPI, OS-All, Pri-2, Type-Feature","apaci...@chromium.org, imch...@chromium.org, lei...@chromium.org, mfo...@chromium.org"
540869,"Design, Internals-Plugins-PDF",All,Bug,Cookie Monster can only notify a single delegate,"Cr-Design, Cr-Internals-Plugins-PDF, OS-All, Pri-2, Type-Bug","bettes@chromium.org, raymes@chromium.org, tbuck...@chromium.org"
540866,Internals-Compositing,All,Bug,Implement native Pinch-Zoom for the PDF viewer,"Cr-Internals-Compositing, OS-All, Pri-2, Type-Bug","d...@chromium.org, danakj@chromium.org, enne@chromium.org, eri...@chromium.org, piman@chromium.org, reveman@chromium.org, sunn...@chromium.org, vmi...@chromium.org, vmp...@chromium.org"
540864,Blink-PresentationAPI,All,Bug,[META] Devtools Device Mode V2,"Cr-Blink-PresentationAPI, M-48, OS-All, Pri-2, Type-Bug","apaci...@chromium.org, avayvod@chromium.org, imch...@chromium.org, mlamo...@chromium.org, vadi...@chromium.org"
540855,"Blink-Fonts, Blink-Layout-WritingMode, Blink-SVG",All,Bug,Overflow-auto on a container that has non-round dimensions truncates its content by 1px,"Cr-Blink-Fonts, Cr-Blink-Layout-WritingMode, Cr-Blink-SVG, OS-All, Pri-2, Type-Bug","dr...@chromium.org, eae@chromium.org, f...@opera.com"
540854,Blink-HTML,All,Feature,"<link rel=""search""> search engine detection is broken","Cr-Blink-HTML, OS-All, Pri-3, Type-Feature, Via-Wizard",
540844,"Internals-Media-Encrypted, Tests-Missing",All,Bug,DevTools: [timeline tree view] Performance,"Cr-Internals-Media-Encrypted, Cr-Tests-Missing, OS-All, Pri-2, Type-Bug",
540839,Blink-Canvas,All,Feature,DevTools: Crop timeline view to main content,"Cr-Blink-Canvas, Hotlist-GoodFirstBug, Hotlist-GoogleApps, OS-All, OWP-Design-No, OWP-Standards-OfficialSpec, OWP-Type-NewAPI, Pri-3, Type-Feature, Via-Wizard",yjaes...@gmail.com
540838,Blink-WebRTC-Network,All,Bug,WebRTC stats don't accurately display candidates that use tcp to talk to turn,"Cr-Blink-WebRTC-Network, OS-All, Pri-2, Type-Bug",
540835,"Blink-Bindings, Blink-DOM, Blink-Input",All,Bug,Implement mock MRP for Media Router integration tests,"Cr-Blink-Bindings, Cr-Blink-DOM, Cr-Blink-Input, OS-All, Pri-2, Type-Bug","chrishtr@chromium.org, dtapu...@chromium.org, phil...@opera.com, tkent@chromium.org"
540826,Blink-Layout-Table,All,Bug-Regression,Remove secondary rotation icon and move bookmarks to the right-hand side,"Cr-Blink-Layout-Table, M-48, OS-All, Pri-1, Type-Bug-Regression, Via-Wizard",a...@chromium.org
540814,Blink-Bindings,All,Bug,Sync: Detection whether the initial download has finished for a type is broken,"Cr-Blink-Bindings, OS-All, Pri-2, Type-Bug","haraken@chromium.org, hpa...@chromium.org, jochen@chromium.org, mlippa...@chromium.org, oilpan-r...@chromium.org, ulan@chromium.org"
540809,Privacy,All,Bug,Checkerboard at gpu service draw time,"Cr-Privacy, OS-All, Pri-2, Type-Bug",
540803,Blink-Video,All,Bug-Regression,"[PresentationAPI] Update PresentationConnection.{terminate,close} to match spec","Cr-Blink-Video, M-46, OS-All, Pri-1, Type-Bug-Regression","ranjit...@chromium.org, smok...@chromium.org"
540801,Internals-Media-Audio,All,Bug,GN builds failed at PNacl verification step,"Cr-Internals-Media-Audio, OS-All, Pri-3, Type-Bug","cwal...@chromium.org, henrika@chromium.org, tommi@google.com"
540782,UI-Browser-Passwords,All,Bug,SVGTextLayoutEngine::layoutTextOnLineOrPath() should use HarfBuzzShaper better,"Cr-UI-Browser-Passwords, M-47, OS-All, Pri-1, Type-Bug","eng...@chromium.org, sabi...@chromium.org"
540776,UI-Browser-Passwords,All,Bug,Chromium should support ePub by default,"Cr-UI-Browser-Passwords, M-47, OS-All, Pri-1, Type-Bug","sabi...@chromium.org, vabr@chromium.org"
540770,Blink-Storage-Quota,All,Feature,Incorrect post_local_scale_factor in transform node when the page scale layer is root.,"Cr-Blink-Storage-Quota, Documentation, OS-All, Pri-2, Type-Feature, Via-Wizard","cmumford@chromium.org, micha...@chromium.org"
540769,Blink-HTML-Parser,All,Bug,EME: Add tests for robustness strings,"Cr-Blink-HTML-Parser, OS-All, Pri-2, Type-Bug","kouhei@chromium.org, y...@yoav.ws"
540761,Blink-HTML-Parser,All,Bug,Add support for the imageSmoothingQuality property for CanvasRenderingContext2D,"Cr-Blink-HTML-Parser, OS-All, Pri-2, Type-Bug",kouhei@chromium.org
540704,Internals-Plugins-PDF,All,Bug,Call might fail when stun server is not resolvable and IP permission denied,"Cr-Internals-Plugins-PDF, OS-All, Pri-2, Type-Bug",tsergeant@chromium.org
540701,,All,Launch-OWP,Group all the members in TaskQueueImpl protected by the lock into a struct,"M-47, OS-All, OWP-Design-No, OWP-Standards-MailingList, OWP-Type-NewAPI, Pri-2, Type-Launch-OWP",o...@chromium.org
540685,"Blink-FetchAPI, Blink-ServiceWorker",All,Launch-OWP,Can't measure real usage of DOM Event properties ,"Cr-Blink-FetchAPI, Cr-Blink-ServiceWorker, OS-All, OWP-Design-No, OWP-Standards-MailingList, OWP-Type-NewAPI, Pri-2, Type-Launch-OWP","jinho.b...@samsung.com, jungkee....@samsung.com, mek@chromium.org"
540676,UI-Browser-Autofill,All,Bug,backface-visibility: hidden gives rendering issues with table borders together with fixed cell content,"Cr-UI-Browser-Autofill, OS-All, Pri-2, Type-Bug","mathp@chromium.org, zk...@chromium.org"
540668,Blink-ServiceWorker,All,Bug,Oilpan wants to know the timing V8 starts marking,"Cr-Blink-ServiceWorker, OS-All, Pri-2, Type-Bug",
540661,Tests-Telemetry,All,Bug,Regression:Blue background flashes on reloading the support.google.com page.,"Cr-Tests-Telemetry, OS-All, Pri-2, Type-Bug","aio...@chromium.org, eakuef...@chromium.org, zhenw@chromium.org"
540650,Blink-Paint-Invalidation,All,Bug,Remove content settings with invalid values,"Cr-Blink-Paint-Invalidation, M-48, OS-All, Pri-2, Type-Bug, Via-Wizard",kavv...@chromium.org
540616,Platform-DevTools,All,Bug,Regression: No any text overlay showing info for selected option is seen for the videos.,"Cr-Platform-DevTools, OS-All, Pri-2, Type-Bug",mlamo...@chromium.org
540615,"Platform-DevTools, UI-Browser-AppShortcuts",All,Bug,"Some audio_unittests work with Audio{Input,Output}Stream(s) outside of AudioThread","Cr-Platform-DevTools, Cr-UI-Browser-AppShortcuts, OS-All, Pri-2, Type-Bug",
540611,Platform-DevTools,All,Bug,Regression: Affiliated matches no longer have an indication of their original source,"Cr-Platform-DevTools, OS-All, Pri-2, Type-Bug","mlamo...@chromium.org, owe...@chromium.org"
540609,Platform-DevTools,All,Feature,Do not create copy of affiliated matches when they are filled,"Cr-Platform-DevTools, OS-All, Pri-2, Type-Feature","owe...@chromium.org, slightly...@chromium.org"
540546,Internals-Plugins-PDF,All,Bug,HTMLToken-family conversions are inconsistent in attributes with empty value,"Cr-Internals-Plugins-PDF, OS-All, Pri-2, Type-Bug",raymes@chromium.org
540542,Tests-Telemetry,All,Bug,Experiment: run HTMLDocumentParser without threading,"Cr-Tests-Telemetry, OS-All, Pri-2, Type-Bug","eakuef...@chromium.org, kbr@chromium.org, nedngu...@chromium.org"
540539,,All,Bug,PDF: Change title of outer plugin container to match truncated PDF filename,"OS-All, Pri-2, Proj-Mandoline, Type-Bug","ben@chromium.org, fsam...@chromium.org, sadrul@chromium.org, sky@chromium.org"
540528,Tests-Telemetry,All,Bug,Intent to Implement Intersection Observer,"Cr-Tests-Telemetry, Hotlist-MemoryInfra, OS-All, Performance-Sheriff, Performance-Waterfall, Pri-2, Type-Bug","lan...@chromium.org, nedngu...@chromium.org, pere...@chromium.org, petrcer...@chromium.org, primi...@chromium.org, s...@chromium.org, sulli...@chromium.org"
540509,"Blink-WebRTC-Network, Mobile-WebView",All,Bug,Foreign Fetch,"Cr-Blink-WebRTC-Network, Cr-Mobile-WebView, M-47, OS-All, Pri-2, Type-Bug","adwaraka...@chromium.org, boliu@chromium.org, cfraa...@chromium.org"
540507,Platform-DevTools,All,Bug,"Split out ""autofilled none"" metric by suggestions surfaced or not","Cr-Platform-DevTools, OS-All, Pri-2, Type-Bug",
540503,Blink-Input,All,Bug,Should throw TypeError instead of UnknownError when receiving ErrorTypeUnknown.,"Cr-Blink-Input, Hotlist-Input-Dev, Hotlist-Interop, OS-All, Pri-2, Type-Bug","garykac@chromium.org, kpschoe...@chromium.org, wez@chromium.org"
540501,UI-Browser-NewTabPage,All,Bug,Binaries that are attached to the browser binary should be specified through browser_options,"Cr-UI-Browser-NewTabPage, Hotlist-Recharge, OS-All, Pri-2, Type-Bug","fs...@chromium.org, rog...@chromium.org"
540499,Blink,All,Bug-Regression,Fixed attachment background image not rendered on page scroll,"Cr-Blink, M-47, OS-All, Pri-1, ReleaseBlock-Stable, Type-Bug-Regression, Via-Wizard",kavv...@chromium.org
540496,,,,Disambiguate between empty manifest and failed manifest download,,
